,user_id,tweets_count,followers_count,friends_count,has_name,has_image,has_address,has_bio,profile_has_url,present_in_list,friends_to_followers_ratio,label
0,1120176186,22,11,257,1,1,1,1,0,0,23.363636363636363,0
1,1124249136,20,11,226,1,1,1,0,0,0,20.545454545454547,0
2,1124264132,19,13,281,1,1,1,1,0,0,21.615384615384617,0
3,1124293891,21,19,237,1,1,1,1,0,0,12.473684210526315,0
4,1124295318,22,20,262,1,1,1,0,0,0,13.1,0
5,1124301420,19,14,269,1,1,1,1,0,0,19.214285714285715,0
6,1124314592,22,13,242,1,1,1,1,0,0,18.615384615384617,0
7,1124348202,19,8,235,1,1,1,1,0,0,29.375,0
8,1124360551,23,13,265,1,1,1,1,0,0,20.384615384615383,0
9,1124407771,26,9,257,1,1,1,0,0,0,28.555555555555557,0
10,1124447899,32,10,259,1,1,1,1,0,0,25.9,0
11,1124453858,20,7,227,1,1,1,0,0,0,32.42857142857143,0
12,1124459342,23,14,259,1,1,1,1,0,0,18.5,0
13,1124512352,20,13,228,1,1,1,0,0,0,17.53846153846154,0
14,1124542038,27,16,282,1,1,1,1,0,0,17.625,0
15,1124550980,19,6,218,1,1,0,0,0,0,36.333333333333336,0
16,1124613985,23,14,259,1,1,1,1,0,0,18.5,0
17,1124616192,21,12,258,1,1,1,1,0,0,21.5,0
18,1124632188,16,5,230,1,1,1,1,0,0,46.0,0
19,1124643068,22,5,225,1,1,1,1,0,0,45.0,0
20,1124711090,25,12,245,1,1,1,1,0,0,20.416666666666668,0
21,1124739583,27,6,256,1,1,1,1,0,0,42.666666666666664,0
22,1124770110,28,13,241,1,1,1,1,0,0,18.53846153846154,0
23,1124788411,22,10,236,1,1,1,1,0,0,23.6,0
24,1124807293,26,18,266,1,1,1,1,0,0,14.777777777777779,0
25,1125327924,21,13,217,1,1,1,0,0,0,16.692307692307693,0
26,1125357410,25,11,261,1,1,1,1,0,0,23.727272727272727,0
27,1125395220,22,16,249,1,1,1,1,0,0,15.5625,0
28,1125604190,19,6,262,1,1,1,0,0,0,43.666666666666664,0
29,1125863318,20,12,236,1,1,1,1,0,0,19.666666666666668,0
30,1125890246,19,10,239,1,1,1,1,0,0,23.9,0
31,1125962952,19,10,238,1,1,1,1,0,0,23.8,0
32,1125979442,20,7,268,1,1,1,1,0,0,38.285714285714285,0
33,1126034406,20,11,256,1,1,1,1,0,0,23.272727272727273,0
34,1126057680,21,8,242,1,1,1,0,0,0,30.25,0
35,1126097768,26,12,258,1,1,1,1,0,0,21.5,0
36,1126130328,27,14,261,1,1,1,1,0,0,18.642857142857142,0
37,1126192496,18,14,246,1,1,1,1,0,0,17.571428571428573,0
38,1126249350,15,10,238,1,1,1,0,0,0,23.8,0
39,1126399904,24,11,228,1,1,1,1,0,0,20.727272727272727,0
40,1126405698,18,14,246,1,1,1,1,0,0,17.571428571428573,0
41,1126439455,24,9,259,1,1,1,0,0,0,28.77777777777778,0
42,1126623571,25,11,242,1,1,1,1,0,0,22.0,0
43,1126840332,15,9,195,1,1,1,1,0,0,21.666666666666668,0
44,1126853088,20,11,244,1,1,1,1,0,0,22.181818181818183,0
45,1126864016,24,15,244,1,1,1,0,0,0,16.266666666666666,0
46,1126883186,26,19,250,1,1,1,1,0,0,13.157894736842104,0
47,1126886184,21,9,255,1,1,1,0,0,0,28.333333333333332,0
48,1126890631,19,13,220,1,1,1,1,0,0,16.923076923076923,0
49,1126890798,24,8,251,1,1,1,1,0,0,31.375,0
50,1126916953,17,11,246,1,1,1,1,0,0,22.363636363636363,0
51,1126921074,20,11,236,1,1,1,1,0,0,21.454545454545453,0
52,1126944366,15,11,236,1,1,1,0,0,0,21.454545454545453,0
53,1126950427,21,14,253,1,1,1,1,0,0,18.071428571428573,0
54,1126958802,24,13,270,1,1,1,1,0,0,20.76923076923077,0
55,1126962823,20,13,238,1,1,1,0,0,0,18.307692307692307,0
56,1126969171,26,21,294,1,1,1,1,0,0,14.0,0
57,1126978626,24,12,260,1,1,1,1,0,0,21.666666666666668,0
58,1126989775,26,6,263,1,1,1,1,0,0,43.833333333333336,0
59,1127005453,17,7,242,1,1,1,1,0,0,34.57142857142857,0
60,1127010846,22,15,260,1,1,1,1,0,0,17.333333333333332,0
61,1127012520,20,13,239,1,1,1,0,0,0,18.384615384615383,0
62,1127013050,19,18,255,1,1,1,1,0,0,14.166666666666666,0
63,1127015257,22,16,242,1,1,1,1,0,0,15.125,0
64,1127023860,19,14,263,1,1,1,1,0,0,18.785714285714285,0
65,1127025932,23,10,244,1,1,1,1,0,0,24.4,0
66,1127026316,22,12,226,1,1,1,1,0,0,18.833333333333332,0
67,1127029874,20,9,221,1,1,1,1,0,0,24.555555555555557,0
68,1127034602,22,16,248,1,1,1,1,0,0,15.5,0
69,1127036438,30,14,249,1,1,1,1,0,0,17.785714285714285,0
70,1127042088,20,15,244,1,1,1,1,0,0,16.266666666666666,0
71,1127056663,23,10,230,1,1,1,1,0,0,23.0,0
72,1127059790,25,14,246,1,1,1,1,0,0,17.571428571428573,0
73,1127064612,22,9,222,1,1,1,1,0,0,24.666666666666668,0
74,1127064944,24,11,245,1,1,1,1,0,0,22.272727272727273,0
75,1127066796,24,11,257,1,1,1,1,0,0,23.363636363636363,0
76,1127067181,23,16,254,1,1,0,1,0,0,15.875,0
77,1127077592,22,8,242,1,1,1,1,0,0,30.25,0
78,1127080364,18,14,258,1,1,1,1,0,0,18.428571428571427,0
79,1127081611,27,11,233,1,1,1,1,0,0,21.181818181818183,0
80,1127094674,23,13,251,1,1,1,1,0,0,19.307692307692307,0
81,1127105233,16,13,240,1,1,1,1,0,0,18.46153846153846,0
82,1127105250,16,11,266,1,1,1,1,0,0,24.181818181818183,0
83,1127105509,28,13,246,1,1,1,0,0,0,18.923076923076923,0
84,1127114233,24,12,230,1,1,1,1,0,0,19.166666666666668,0
85,1127132214,18,16,247,1,1,1,1,0,0,15.4375,0
86,1127137806,24,12,233,1,1,1,1,0,0,19.416666666666668,0
