,user_id,tweets_count,has_name,has_image,has_address,has_bio,profile_has_url,present_in_list,mean_followers_count,mean_friends_count,label
0,3610511,3057,1,1,1,1,1,1,9,151,1
1,5656162,3128,1,1,1,1,1,1,6,6,1
2,5682702,3158,1,1,1,1,1,1,11,9,1
3,6067292,3098,1,1,0,1,1,1,14,82,1
4,6015122,2012,1,1,1,1,1,0,43,12,1
5,6140012,3203,1,1,1,1,0,1,49,18,1
6,6134312,1183,1,1,1,1,0,1,22,0,1
7,6684602,3102,1,1,0,1,0,1,21,84,1
8,7046912,3113,1,1,1,1,1,1,4,7,1
9,7470952,3186,1,1,1,1,0,1,30,110,1
10,8072492,2754,1,1,1,1,1,1,29,0,1
11,8291932,3127,1,1,1,1,1,1,15,98,1
12,8858022,3103,1,1,1,1,0,1,33,4,1
13,8927532,1437,1,1,1,1,1,1,45,64,1
14,8933252,1716,1,1,0,1,0,1,40,527,1
15,9351052,400,1,1,1,1,1,1,36,0,1
16,9564632,3066,1,1,1,1,1,1,3,5,1
17,9939012,3146,1,1,1,1,1,1,36,141,1
18,9993142,2886,1,1,1,1,0,1,40,365,1
19,10492262,770,1,1,1,1,0,1,76,8,1
20,11176152,1436,1,1,1,1,0,1,63,169,1
21,13260592,3130,1,1,1,1,1,1,18,65,1
22,14057516,3087,1,1,0,1,0,1,41,54,1
23,14112759,157,1,1,1,1,1,0,72,10,1
24,14492555,291,1,1,1,1,1,0,25,0,1
25,14709812,3178,1,1,1,1,0,1,29,143,1
26,14865840,3199,1,1,1,1,1,1,12,45,1
27,14958182,1287,1,1,1,1,1,1,38,85,1
28,15016610,1957,1,1,1,1,1,1,27,92,1
29,15271419,2974,1,1,1,1,1,1,9,51,1
30,15391421,3056,1,1,1,1,1,1,13,52,1
31,15836275,731,1,1,1,1,1,1,38,0,1
32,15873303,3244,1,1,1,1,1,1,14,13,1
33,16093829,3112,1,1,1,1,1,1,5,0,1
34,16591972,2693,1,1,1,1,1,1,25,137,1
35,16927266,823,1,1,1,1,0,1,44,0,1
36,17654864,442,1,1,1,1,1,1,34,0,1
37,17852114,351,1,1,1,1,0,1,28,0,1
38,18173213,1444,1,1,1,1,1,1,7,0,1
39,18527544,3102,1,1,0,1,1,1,38,11,1
40,18671285,3126,1,1,1,1,1,1,33,130,1
41,18735790,1006,1,1,1,1,1,1,17,0,1
42,18800245,1122,1,1,1,1,1,1,41,105,1
43,19598248,1409,1,1,1,1,1,0,41,1,1
44,21102000,3238,1,1,1,1,1,1,7,3,1
45,21770069,3176,1,1,1,1,1,1,10,18,1
46,22015750,2233,1,1,1,1,0,1,24,48,1
47,22136015,3233,1,1,1,1,0,1,9,0,1
